,number,from_date,to_date,backlog_all,inflow_all,outflow_all,backlog_normal,inflow_normal,outflow_normal,backlog_major,inflow_major,outflow_major
2018-06-18/2018-06-24,920,2018-06-18,2018-06-24,99,1,2,0,0,0,0,0,0
2018-06-25/2018-07-01,921,2018-06-25,2018-07-01,98,3,4,0,0,0,0,0,0
2018-07-02/2018-07-08,922,2018-07-02,2018-07-08,99,2,1,0,0,0,0,0,0
2018-07-09/2018-07-15,923,2018-07-09,2018-07-15,100,3,2,0,0,0,0,0,0
2018-07-16/2018-07-22,924,2018-07-16,2018-07-22,96,0,4,0,0,0,0,0,0
2018-07-23/2018-07-29,925,2018-07-23,2018-07-29,96,0,0,0,0,0,0,0,0
2018-07-30/2018-08-05,926,2018-07-30,2018-08-05,90,3,9,0,0,0,0,0,0
2018-08-06/2018-08-12,927,2018-08-06,2018-08-12,85,1,6,0,0,0,0,0,0
2018-08-13/2018-08-19,928,2018-08-13,2018-08-19,86,3,2,0,0,0,0,0,0
2018-08-20/2018-08-26,929,2018-08-20,2018-08-26,84,1,3,0,0,0,0,0,0
2018-08-27/2018-09-02,930,2018-08-27,2018-09-02,78,9,15,0,0,0,0,0,0
2018-09-03/2018-09-09,931,2018-09-03,2018-09-09,75,2,5,0,0,0,0,0,0
2018-09-10/2018-09-16,932,2018-09-10,2018-09-16,70,2,7,0,0,0,0,0,0
2018-09-17/2018-09-23,933,2018-09-17,2018-09-23,67,0,3,0,0,0,0,0,0
2018-09-24/2018-09-30,934,2018-09-24,2018-09-30,66,1,2,0,0,0,0,0,0
2018-10-01/2018-10-07,935,2018-10-01,2018-10-07,64,0,2,0,0,0,0,0,0
2018-10-08/2018-10-14,936,2018-10-08,2018-10-14,60,1,5,0,0,0,0,0,0
2018-10-15/2018-10-21,937,2018-10-15,2018-10-21,61,3,2,0,0,0,0,0,0
2018-10-22/2018-10-28,938,2018-10-22,2018-10-28,59,1,3,0,0,0,0,0,0
2018-10-29/2018-11-04,939,2018-10-29,2018-11-04,57,1,3,0,0,0,0,0,0
2018-11-05/2018-11-11,940,2018-11-05,2018-11-11,53,0,4,0,0,0,0,0,0
2018-11-12/2018-11-18,941,2018-11-12,2018-11-18,48,0,5,0,0,0,0,0,0
2018-11-19/2018-11-25,942,2018-11-19,2018-11-25,49,2,1,0,0,0,0,0,0
2018-11-26/2018-12-02,943,2018-11-26,2018-12-02,41,2,10,0,0,0,0,0,0
2018-12-03/2018-12-09,944,2018-12-03,2018-12-09,38,4,7,0,0,0,0,0,0
2018-12-10/2018-12-16,945,2018-12-10,2018-12-16,31,1,8,0,0,0,0,0,0
2018-12-17/2018-12-23,946,2018-12-17,2018-12-23,29,2,4,0,0,0,0,0,0
