,number,from_date,to_date,backlog_all,inflow_all,outflow_all,backlog_normal,inflow_normal,outflow_normal,backlog_major,inflow_major,outflow_major
2018-04-09/2018-04-15,911,2018-04-09,2018-04-15,55,1,2,0,0,0,0,0,0
2018-04-16/2018-04-22,912,2018-04-16,2018-04-22,53,2,4,0,0,0,0,0,0
2018-04-23/2018-04-29,913,2018-04-23,2018-04-29,55,3,1,0,0,0,0,0,0
2018-04-30/2018-05-06,914,2018-04-30,2018-05-06,53,0,2,0,0,0,0,0,0
2018-05-07/2018-05-13,915,2018-05-07,2018-05-13,53,2,2,0,0,0,0,0,0
2018-05-14/2018-05-20,916,2018-05-14,2018-05-20,53,0,0,0,0,0,0,0,0
2018-05-21/2018-05-27,917,2018-05-21,2018-05-27,53,2,2,0,0,0,0,0,0
2018-05-28/2018-06-03,918,2018-05-28,2018-06-03,53,2,2,0,0,0,0,0,0
2018-06-04/2018-06-10,919,2018-06-04,2018-06-10,52,1,2,0,0,0,0,0,0
2018-06-11/2018-06-17,920,2018-06-11,2018-06-17,50,2,4,0,0,0,0,0,0
2018-06-18/2018-06-24,921,2018-06-18,2018-06-24,49,2,3,0,0,0,0,0,0
2018-06-25/2018-07-01,922,2018-06-25,2018-07-01,50,3,2,0,0,0,0,0,0
2018-07-02/2018-07-08,923,2018-07-02,2018-07-08,50,1,1,0,0,0,0,0,0
2018-07-09/2018-07-15,924,2018-07-09,2018-07-15,50,3,3,0,0,0,0,0,0
2018-07-16/2018-07-22,925,2018-07-16,2018-07-22,47,1,4,0,0,0,0,0,0
2018-07-23/2018-07-29,926,2018-07-23,2018-07-29,47,2,2,0,0,0,0,0,0
2018-07-30/2018-08-05,927,2018-07-30,2018-08-05,49,3,1,0,0,0,0,0,0
2018-08-06/2018-08-12,928,2018-08-06,2018-08-12,49,2,2,0,0,0,0,0,0
2018-08-13/2018-08-19,929,2018-08-13,2018-08-19,48,3,4,0,0,0,0,0,0
2018-08-20/2018-08-26,930,2018-08-20,2018-08-26,49,2,1,0,0,0,0,0,0
2018-08-27/2018-09-02,931,2018-08-27,2018-09-02,37,3,15,0,0,0,0,0,0
2018-09-03/2018-09-09,932,2018-09-03,2018-09-09,36,2,3,0,0,0,0,0,0
2018-09-10/2018-09-16,933,2018-09-10,2018-09-16,37,3,2,0,0,0,0,0,0
2018-09-17/2018-09-23,934,2018-09-17,2018-09-23,35,1,3,0,0,0,0,0,0
2018-09-24/2018-09-30,935,2018-09-24,2018-09-30,35,2,2,0,0,0,0,0,0
2018-10-01/2018-10-07,936,2018-10-01,2018-10-07,36,2,1,0,0,0,0,0,0
2018-10-08/2018-10-14,937,2018-10-08,2018-10-14,35,2,3,0,0,0,0,0,0
2018-10-15/2018-10-21,938,2018-10-15,2018-10-21,33,1,3,0,0,0,0,0,0
2018-10-22/2018-10-28,939,2018-10-22,2018-10-28,32,1,2,0,0,0,0,0,0
2018-10-29/2018-11-04,940,2018-10-29,2018-11-04,33,1,0,0,0,0,0,0,0
2018-11-05/2018-11-11,941,2018-11-05,2018-11-11,30,2,5,0,0,0,0,0,0
2018-11-12/2018-11-18,942,2018-11-12,2018-11-18,22,3,11,0,0,0,0,0,0
2018-11-19/2018-11-25,943,2018-11-19,2018-11-25,23,1,0,0,0,0,0,0,0
2018-11-26/2018-12-02,944,2018-11-26,2018-12-02,15,1,9,0,0,0,0,0,0
2018-12-03/2018-12-09,945,2018-12-03,2018-12-09,15,1,1,0,0,0,0,0,0
2018-12-10/2018-12-16,946,2018-12-10,2018-12-16,13,0,2,0,0,0,0,0,0
2018-12-17/2018-12-23,947,2018-12-17,2018-12-23,8,2,7,0,0,0,0,0,0
2018-12-24/2018-12-30,948,2018-12-24,2018-12-30,9,1,0,0,0,0,0,0,0
